State,Year,population,property_crime_rate,burglary_rate,larceny_rate,motor_theft_rate,violent_crime_rate,assault_rate,murder_rate,rape_rate,robbery_rate,Data.Totals.Property.All,Data.Totals.Property.Burglary,Data.Totals.Property.Larceny,Data.Totals.Property.Motor,Data.Totals.Violent.All,Data.Totals.Violent.Assault,Data.Totals.Violent.Murder,Data.Totals.Violent.Rape,Data.Totals.Violent.Robbery,Unemployment_rate
Alaska,2017,739795,3542.1,563.8,2402.7,575.6,829.0,575.4,8.4,116.7,128.5,26204,4171,17775,4258,6133,4257,62,863,951,6.5
Alaska,2018,737438,3300.5,539.6,2219.0,541.9,885.0,595.4,6.4,161.6,121.5,24339,3979,16364,3996,6526,4391,47,1192,896,6.0
Alaska,2019,731545,2910.8,487.1,2066.0,357.7,867.1,596.0,9.4,148.7,112.9,21294,3563,15114,2617,6343,4360,69,1088,826,5.6
Arizona,2000,5130632,5297.8,1011.6,3444.1,842.1,531.7,347.7,7.0,30.7,146.3,271811,51902,176705,43204,27281,17841,359,1577,7504,4.0
Arizona,2001,5306966,5537.5,1033.0,3520.8,983.7,540.3,337.1,7.5,28.6,167.1,293874,54821,186850,52203,28675,17889,400,1518,8868,4.7
Arizona,2002,5441125,5849.8,1085.9,3704.0,1059.9,554.5,370.8,7.1,29.6,147.0,318296,59087,201541,57668,30171,20176,387,1608,8000,6.2
Arizona,2003,5579222,5634.0,1050.6,3561.9,1021.6,513.3,335.6,7.9,33.3,136.6,314335,58613,198725,56997,28638,18722,441,1856,7619,5.8
Arizona,2004,5739879,5073.3,991.0,3118.7,963.5,504.4,329.6,7.2,33.0,134.5,291203,56885,179012,55306,28952,18921,414,1896,7721,5.0
Arizona,2005,5953007,4827.0,946.2,2958.0,922.0,512.0,326.7,7.5,33.7,144.1,287345,56328,176112,54905,30478,19448,445,2006,8579,4.7
Arizona,2006,6166318,4774.1,963.6,2891.9,918.7,542.6,340.3,8.6,39.7,153.9,294389,59418,178321,56650,33456,20983,533,2449,9491,4.3
Arizona,2007,6338755,4532.6,946.4,2793.5,792.6,518.0,318.2,8.6,37.1,154.0,287308,59988,177076,50244,32835,20170,548,2353,9764,3.8
Arizona,2008,6500180,4102.2,901.6,2607.0,593.6,485.6,293.8,7.1,33.8,150.9,266653,58606,169460,38587,31567,19096,462,2200,9809,5.8
Arizona,2009,6595778,3589.0,823.4,2364.8,400.8,426.5,261.8,5.8,34.6,124.3,236721,54308,155976,26437,28128,17270,380,2279,8199,9.7
Arizona,2010,6413158,3536.5,794.2,2403.4,338.9,413.6,264.7,6.4,34.2,108.4,226802,50932,154137,21733,26528,16976,408,2191,6953,10.3
Arizona,2011,6467315,3554.7,845.7,2402.9,306.2,414.2,259.0,6.1,38.6,110.5,229896,54695,155400,19801,26789,16748,397,2499,7145,9.4
Arizona,2012,6553255,3539.2,807.8,2439.1,292.3,428.9,276.0,5.5,34.7,112.7,231930,52934,159838,19158,28108,18087,358,2277,7386,8.3
Arizona,2013,6626624,3399.1,732.4,2403.5,263.2,416.5,263.9,5.4,46.0,101.1,225243,48533,159272,17438,27599,17490,357,3050,6702,7.8
Arizona,2014,6731484,3197.5,647.1,2289.1,261.3,399.9,252.1,4.7,50.2,92.8,215240,43562,154091,17587,26916,16970,319,3378,6249,6.8
Arizona,2015,6828065,3033.2,555.9,2231.5,245.8,410.2,267.1,4.5,45.5,93.1,207107,37957,152365,16785,28012,18235,309,3108,6360,6.1
Arizona,2016,6931071,2978.4,544.4,2168.1,265.8,470.1,315.4,5.5,47.5,101.8,206432,37736,150275,18421,32583,21858,380,3290,7055,5.5
Arizona,2017,7016270,2914.9,536.3,2107.0,271.6,508.0,345.0,5.9,51.0,106.0,204515,37627,147830,19058,35644,24207,416,3581,7440,5.0
Arizona,2018,7171646,2676.8,439.7,1970.3,266.9,474.9,328.1,5.1,50.7,91.0,191974,31532,141303,19139,34058,23528,369,3638,6523,4.8
Arizona,2019,7278717,2440.5,394.3,1796.9,249.4,455.3,311.9,5.0,50.3,88.1,177638,28699,130788,18151,33141,22704,365,3662,6410,4.8
Arkansas,2000,2673400,3670.0,802.1,2608.7,259.3,445.3,332.4,6.3,31.7,74.8,98115,21443,69740,6932,11904,8887,168,848,2001,4.2
Arkansas,2001,2694698,3677.8,823.7,2582.5,271.6,452.4,332.8,5.5,33.1,80.9,99106,22196,69590,7320,12190,8969,148,892,2181,4.8
Arkansas,2002,2706268,3738.4,858.3,2628.3,251.7,425.0,298.6,5.2,27.9,93.3,101171,23229,71129,6813,11501,8081,142,754,2524,5.3
Arkansas,2003,2727774,3632.4,917.1,2495.1,220.2,456.4,334.7,6.6,33.4,81.6,99084,25016,68061,6007,12449,9131,180,911,2227,5.8
Arkansas,2004,2750000,4033.1,1096.4,2699.7,237.0,502.3,366.7,6.4,43.0,86.3,110911,30151,74242,6518,13814,10083,176,1183,2372,5.6
Arkansas,2005,2775708,4068.0,1085.1,2720.0,262.0,528.0,387.2,6.8,43.3,91.2,112914,30118,75510,7286,14670,10747,189,1202,2532,5.3
Arkansas,2006,2810872,3985.4,1133.6,2584.5,267.4,552.8,400.6,7.3,47.1,97.8,112025,31864,72646,7515,15538,11259,205,1325,2749,5.2
Arkansas,2007,2834797,3955.5,1130.1,2578.5,246.9,537.1,374.9,7.0,45.6,109.5,112130,32035,73096,6999,15226,10629,198,1294,3105,5.4
Arkansas,2008,2855390,3865.0,1187.6,2448.2,229.1,513.0,358.8,5.8,51.2,97.3,110360,33912,69905,6543,14649,10244,165,1463,2777,5.4
Arkansas,2009,2889450,3775.0,1202.8,2361.3,211.0,515.8,372.8,6.2,47.7,89.2,109078,34753,68228,6097,14905,10772,179,1378,2576,7.7
Arkansas,2010,2921588,3553.5,1111.1,2252.1,190.3,503.5,372.6,4.6,45.2,81.1,103820,32463,65796,5561,14711,10887,134,1321,2369,7.9
Arkansas,2011,2938582,3757.9,1157.6,2404.1,196.3,482.3,354.8,5.4,41.9,80.2,110430,34016,70645,5769,14173,10426,160,1230,2357,7.9
Arkansas,2012,2949131,3660.1,1081.3,2384.7,194.1,469.1,342.3,5.9,42.3,78.7,107941,31890,70327,5724,13835,10095,173,1247,2320,7.3
Arkansas,2013,2959373,3602.6,1030.1,2380.6,191.9,460.3,330.5,5.4,48.1,76.3,106613,30485,70450,5678,13621,9781,159,1423,2258,7.1
Arkansas,2014,2966369,3338.0,835.7,2313.5,188.8,480.1,346.0,5.6,59.4,69.1,99018,24790,68627,5601,14243,10265,165,1763,2050,5.9
Arkansas,2015,2978204,3251.5,760.2,2297.5,193.8,521.3,380.0,6.1,64.8,70.4,96836,22640,68424,5772,15526,11316,181,1931,2098,5.0
Arkansas,2016,2988248,3268.6,795.5,2233.6,239.4,550.9,401.0,7.2,71.7,70.9,97673,23771,66747,7155,16461,11982,216,2143,2120,4.0
Arkansas,2017,3004279,3078.6,727.7,2109.5,241.4,554.9,413.6,8.6,68.3,64.4,92489,21862,63374,7253,16671,12425,258,2053,1935,3.7
Arkansas,2018,3013825,2913.0,636.8,2040.2,236.0,543.6,410.7,7.2,72.9,52.9,87793,19193,61487,7113,16384,12378,216,2196,1594,3.7
Arkansas,2019,3017804,2858.0,599.6,2012.6,245.9,584.6,447.8,8.0,77.2,51.6,86250,18095,60735,7420,17643,13513,242,2331,1557,3.5
California,2000,33871648,3118.2,656.3,1924.5,537.4,621.6,408.7,6.1,28.9,177.9,1056183,222293,651855,182035,210531,138418,2079,9785,60249,4.9
California,2001,34600463,3278.0,671.3,2016.6,590.1,615.2,393.3,6.4,28.8,186.7,1134189,232273,697739,204177,212867,136087,2206,9960,64614,5.5
California,2002,35001986,3361.2,681.2,2044.7,635.3,595.4,373.8,6.8,29.1,185.6,1176484,238428,715692,222364,208388,130827,2395,10198,64968,6.8
California,2003,35462712,3426.4,683.2,2062.7,680.5,579.6,364.8,6.8,28.2,179.8,1215086,242274,731486,241326,205551,129380,2407,9994,63770,6.9
California,2004,35842038,3423.9,686.1,2033.1,704.8,527.8,322.0,6.7,26.8,172.3,1227194,245903,728687,252604,189175,115400,2392,9615,61768,6.2
California,2005,36154147,3321.0,692.9,1915.0,712.0,526.0,317.1,6.9,26.0,176.0,1200531,250521,692467,257543,190178,114661,2503,9392,63622,5.4
California,2006,36457549,3181.7,678.1,1835.3,668.3,533.5,306.2,6.8,25.3,195.1,1159988,247230,669103,243655,194483,111620,2486,9235,71142,4.9
California,2007,36553215,3043.5,650.7,1790.6,602.2,524.1,299.7,6.2,24.7,193.4,1112510,237850,654526,220134,191561,109547,2262,9046,70706,5.3
California,2008,36756666,2941.0,647.0,1770.2,523.8,504.2,285.4,5.8,24.2,188.8,1080996,237811,650656,192529,185329,104896,2142,8903,69388,7.3
California,2009,36961664,2731.0,622.8,1665.0,443.3,473.3,271.0,5.3,23.6,173.4,1009433,230198,615402,163833,174934,100156,1972,8713,64093,11.5
California,2010,37338198,2629.9,612.9,1608.4,408.5,439.6,256.8,4.8,22.3,155.6,981939,228857,600558,152524,164133,95877,1809,8331,58116,12.5
California,2011,37683933,2584.2,610.5,1584.0,389.7,411.2,242.0,4.8,20.3,144.1,973822,230075,596905,146842,154943,91195,1792,7665,54291,11.9
California,2012,38041430,2758.7,646.1,1669.5,443.2,423.1,248.9,5.0,20.6,148.6,1049465,245767,635090,168608,160944,94702,1884,7837,56521,10.5
California,2013,38332521,2658.1,605.4,1621.5,431.2,402.1,232.3,4.6,25.3,139.9,1018907,232058,621557,165292,154129,89029,1746,9714,53640,9.0
California,2014,38802500,2441.1,522.3,1527.4,391.3,396.1,236.6,4.4,29.7,125.5,947192,202670,592670,151852,153709,91803,1699,11527,48680,7.6
California,2015,39144818,2618.3,504.3,1677.1,436.8,426.3,253.8,4.8,32.7,135.0,1024914,197404,656517,170993,166883,99349,1861,12811,52862,6.3
California,2016,39250017,2553.0,479.8,1623.0,450.3,445.3,265.9,4.9,34.9,139.6,1002070,188304,637010,176756,174796,104375,1930,13702,54789,5.5
California,2017,39536653,2496.7,446.9,1623.9,425.9,449.3,264.2,4.6,37.2,143.2,987114,176690,642033,168391,177627,104454,1830,14721,56622,4.8
California,2018,39557045,2380.4,416.2,1571.8,392.4,447.4,266.5,4.4,39.2,137.3,941618,164632,621775,155211,176982,105412,1739,15505,54326,4.2
California,2019,39512223,2331.2,386.1,1586.3,358.8,441.2,267.1,4.3,37.5,132.4,921114,152555,626802,141757,174331,105541,1690,14799,52301,4.1
Colorado,2000,4301261,3648.6,630.8,2623.5,394.3,334.0,219.1,3.1,41.2,70.5,156937,27133,112843,16961,14367,9425,134,1774,3034,2.7
Colorado,2001,4430989,3856.6,643.9,2738.9,473.8,349.6,222.3,3.6,43.6,80.2,170887,28533,121360,20994,15492,9849,158,1930,3555,3.8
Colorado,2002,4501051,4000.3,703.8,2781.4,515.1,352.9,223.5,4.0,45.9,79.5,180054,31678,125193,23183,15882,10058,179,2066,3579,5.7
Colorado,2003,4547633,3951.6,712.3,2737.6,501.7,346.5,218.2,4.1,42.1,82.2,179706,32394,124496,22816,15757,9921,185,1913,3738,6.1
Colorado,2004,4601821,3918.5,717.3,2679.5,521.6,372.0,244.2,4.4,42.3,81.3,180322,33010,123308,24004,17121,11236,201,1945,3739,5.6
Colorado,2005,4663295,4041.0,745.1,2736.0,560.0,397.0,264.9,3.7,43.4,84.7,188449,34746,127602,26101,18498,12351,173,2026,3948,5.1
Colorado,2006,4753377,3438.4,681.9,2322.0,434.6,395.4,265.9,3.6,45.4,80.4,163439,32411,110372,20656,18794,12641,171,2158,3824,4.2
Colorado,2007,4861515,2999.2,589.0,2067.6,342.6,351.8,234.7,3.2,42.7,71.2,145808,28633,100519,16656,17101,11410,155,2075,3461,3.7
Colorado,2008,4939456,2821.0,568.0,1982.7,270.3,353.9,238.1,3.3,43.5,68.9,139340,28054,97937,13349,17480,11760,165,2151,3404,4.9
Colorado,2009,5024748,2670.7,530.1,1892.2,248.4,338.8,223.4,3.2,45.2,67.1,134196,26637,95079,12480,17022,11223,159,2269,3371,7.9
Colorado,2010,5047692,2674.5,519.0,1932.2,223.3,323.7,214.3,2.6,44.2,62.7,135001,26196,97534,11271,16339,10816,129,2230,3164,9.2
Colorado,2011,5116302,2595.3,502.8,1877.4,215.0,314.4,202.2,3.0,44.7,64.5,132781,25725,96054,11002,16085,10346,155,2285,3299,8.7
Colorado,2012,5187582,2684.7,504.2,1947.4,233.1,308.9,199.6,3.1,40.7,65.4,139270,26157,101021,12092,16023,10353,162,2113,3395,8.0
Colorado,2013,5268367,2658.5,476.1,1944.5,237.9,308.0,189.1,3.4,55.7,59.8,140057,25081,102443,12533,16226,9963,178,2934,3151,6.7
Colorado,2014,5355866,2530.1,438.2,1857.1,234.8,309.1,192.8,2.8,56.7,56.7,135510,23472,99464,12574,16554,10325,151,3039,3039,5.0
Colorado,2015,5456574,2641.5,429.8,1918.5,293.2,321.0,197.2,3.2,59.7,60.9,144136,23454,104682,16000,17515,10759,176,3257,3323,3.7
Colorado,2016,5540545,2740.7,431.4,1955.3,354.0,342.6,211.1,3.7,64.2,63.7,151850,23903,108336,19611,18983,11696,204,3555,3528,3.1
Colorado,2017,5607154,2701.6,406.9,1904.9,389.9,368.1,226.9,3.9,68.8,68.4,151483,22813,106809,21861,20638,12721,221,3858,3838,2.6
Colorado,2018,5695564,2671.6,375.2,1915.9,380.5,397.2,255.4,3.7,71.5,66.7,152163,21371,109119,21673,22624,14547,210,4070,3797,3.0
Colorado,2019,5758736,2590.7,348.4,1858.3,384.0,381.0,246.3,3.8,67.2,63.6,149189,20064,107012,22113,21938,14185,218,3872,3663,2.7
Connecticut,2000,3405565,2908.0,512.0,2011.4,384.6,324.7,189.4,2.9,19.9,112.5,99033,17436,68498,13099,11058,6450,98,678,3832,2.1
Connecticut,2001,3434602,2774.7,499.6,1914.7,360.4,334.6,191.1,3.1,18.6,121.8,95299,17159,65762,12378,11492,6565,105,639,4183,2.9
Connecticut,2002,3458587,2701.3,494.7,1871.7,334.8,312.5,171.0,2.4,21.4,117.6,93426,17111,64735,11580,10807,5914,84,740,4069,4.4
Connecticut,2003,3486960,2666.5,460.1,1880.4,326.1,316.8,172.7,3.2,20.0,120.8,92981,16043,65568,11370,11045,6023,112,698,4212,5.5
